name,常住人口2010,订单数,包邮率,城市简称,省,城市等级,lng,lat,区域
延安市,2187009,186504,0.9742847338394888,延安市,陕西省,三线及以下,109.3182922,36.43548548,西北
榆林市,3351436,361779,0.9787964475549992,榆林市,陕西省,三线及以下,109.5499787,38.0356259,西北
汉中市,3416196,195707,0.972790957911572,汉中市,陕西省,三线及以下,107.1009914,33.09120994,西北
渭南市,5286077,277175,0.9745611977992245,渭南市,陕西省,三线及以下,109.8484405,34.94728407,西北
西安市,8467838,2032034,0.966868664599116,西安市,陕西省,二线,108.7837633,34.10621681,西北
铜川市,834437,53657,0.973554242689677,铜川市,陕西省,三线及以下,109.0324179,35.19490842,西北
海东市,1396845,29650,0.9186172006745362,海东市,青海省,三线及以下,102.3436308,36.32893483,西北
西宁市,2208708,175361,0.9096492378579044,西宁市,青海省,三线及以下,101.4495948,36.81656849,西北
七台河市,920471,54910,0.9758878164268804,七台河市,黑龙江省,三线及以下,130.9704298,45.91103336,东北
伊春市,1148126,75956,0.9709963663173417,伊春市,黑龙江省,三线及以下,129.2005796,47.80304955,东北
佳木斯市,2552097,197464,0.9751043228132724,佳木斯市,黑龙江省,三线及以下,132.2360925,47.27247682,东北
双鸭山市,1462626,93821,0.9710405985866704,双鸭山市,黑龙江省,三线及以下,132.5404067,46.68145777,东北
哈尔滨市,10635971,1219947,0.9697986879757892,哈尔滨市,黑龙江省,三线及以下,127.9557599,45.63574715,东北
大庆市,2904532,293340,0.9685825322151768,大庆市,黑龙江省,三线及以下,124.70207,46.34271683,东北
牡丹江市,2798723,202802,0.969324760110847,牡丹江市,黑龙江省,三线及以下,129.8893101,44.59320966,东北
绥化市,5418153,208104,0.9756275708299696,绥化市,黑龙江省,三线及以下,126.6347861,46.8918917,东北
鸡西市,1862165,121485,0.9722352553813228,鸡西市,黑龙江省,三线及以下,132.27999,45.6316844,东北
鹤岗市,1058665,76524,0.973407035701218,鹤岗市,黑龙江省,三线及以下,130.8041176,47.63909731,东北
黑河市,1673899,112545,0.9737438357990136,黑河市,黑龙江省,三线及以下,126.9978173,49.25535949,东北
齐齐哈尔市,5367003,284455,0.9719639310259972,齐齐哈尔市,黑龙江省,三线及以下,124.5356942,47.69864886,东北
